0	-5.1428	0.05	0.308662
50	1.02249	0.05	0.424498
100	2.12887	0.05	0.44917
150	2.75441	0.05	0.605626
200	3.2381	0.05	0.605694
250	3.76802	0.05	0.688455
300	4.11532	0.05	0.72801
350	4.28632	0.05	0.616194
400	4.51839	0.05	0.589399
450	4.73021	0.05	0.582288
500	5.49652	0.05	0.357967
550	7.09357	0.05	0.427542
600	10.2004	0.05	0.251949
650	14.848	0.05	0.400789
700	21.821	0.05	0.309516
750	30.9339	0.05	0.417009
800	42.9644	0.05	0.27097
850	59.2531	0.05	0.337604
900	80.1337	0.05	0.300006
950	108.31	0.05	0.193574
1000	145.843	0.05	0.239135
1000	145.843	0.05	0.239135
