0	-7.45071	0.05	2.60735
50	-1.31776	0.05	1.97742
100	0.542803	0.05	1.12451
150	1.14082	0.05	1.48972
200	3.43096	0.05	0.829249
250	3.22623	0.05	0.913245
300	3.22303	0.05	1.16056
350	3.97481	0.05	1.31064
400	3.53385	0.05	1.10613
450	4.93216	0.05	0.693628
500	2.97019	0.05	1.33582
550	4.35407	0.05	1.17875
600	5.03067	0.05	1.06316
650	4.90936	0.05	1.09969
700	7.5587	0.05	1.23051
750	9.94347	0.05	1.07602
800	17.0322	0.05	0.553794
850	25.547	0.05	0.622333
900	40.188	0.05	0.823499
950	57.5586	0.05	1.13609
1000	81.0019	0.05	1.49879
1000	81.0019	0.05	1.49879
