0	4.26997	0.05	2.20716
-50	0.380696	0.05	1.50629
100	-1.03754	0.05	1.8296
150	-2.20977	0.05	1.39498
200	-2.99086	0.05	2.02316
250	-3.74942	0.05	1.42687
300	-4.34985	0.05	1.02034
350	-2.99012	0.05	1.05767
400	-4.59162	0.05	0.938989
450	-4.02503	0.05	1.57243
500	-4.23251	0.05	1.55139
550	-4.9909	0.05	1.7648
600	-5.85542	0.05	1.28735
650	-7.75218	0.05	1.0071
700	-10.9515	0.05	1.9951
750	-15.2702	0.05	1.21132
800	-21.6511	0.05	0.997907
850	-30.9456	0.05	2.25997
900	-43.3938	0.05	2.15575
950	-60.2376	0.05	1.88004
1000	-81.8528	0.05	1.25607
1000	-81.8528	0.05	1.25607
