0	-2.8	-2.9	-2.8	-30.6
-50	676	673	671	-30.6
-100	884	883	878	-30.6
-150	1039	1043	1042	-30.7
-200	1213	1211	1210	-30.7
-250	1358	1356	1356	-30.7
-300	1499	1499	1498	-30.7
-350	1619	1620	1621	-30.7
-400	1730	1730	1728	-30.7
-450	1841	1841	1842	-30.7
-500	1944	1944	1945	-30.5
-550	2043	2045	2044	-30.4
-600	2139	2139	2140	-30.3
-650	2221	2222	2221	-30.3
-700	2288	2288	2287	-30.2
-750	2348	2349	2349	-30.2
-800	2402	2402	2401	-30.3
-850
